cluster,observer_path,observer_label_values,observer_type,observer_value_class,observer_sample,observer_n_files,viewpoint_path,viewpoint_short_label,viewpoint_long_label,viewpoint_type,viewpoint_value_class,viewpoint_sample,viewpoint_n_files,notes
biometry,,,,,,,OBX ExtremitiesFetus.VP_FemurUndefinedLength_Deviation,,,float (NM),decimal,-0.9 (-0.9SD)|-1.6 (-1.6SD)|0.1 (+0.1SD)|-0.1 (-0.1SD)|-1.9 (-1.9SD)|-1.3 (-1.3SD),6/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_FemurUndefinedLength_GA,,,int (NM),weeks_days,163 (23w 2d)|124 (17w 5d)|172 (24w 4d)|229 (32w 5d)|184 (26w 2d)|158 (22w 4d),6/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_FemurUndefinedLength_Percentile,,,int (NM),percentile,18 (18%)|6 (6%)|54 (54%)|44 (44%)|3 (3%)|9 (9%),6/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_FibulaUndefinedLength_Author,,,str (ST),coded_text,Romero,1/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_FibulaUndefinedLength_DevRatio,,,float (NM),percentile,-34.2 (-34.2%),1/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_FibulaUndefinedLength_Deviation,,,float (NM),decimal,-2.1 (-2.1SD),1/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_FibulaUndefinedLength_Percentile,,,int (NM),percentile,2 (2%),1/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_HumerusUndefinedLength_Author,,,str (ST),coded_text,Romero,2/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_HumerusUndefinedLength_DevRatio,,,float (NM),percentile,-20.5 (-20.5%)|-7.4 (-7.4%),2/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_HumerusUndefinedLength_Deviation,,,float (NM),decimal,-1.9 (-1.9SD)|-1.2 (-1.2SD),2/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_HumerusUndefinedLength_Percentile,,,int (NM),percentile,3 (3%)|12 (12%),2/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_TibiaUndefinedLength_Author,,,str (ST),coded_text,Romero,1/7,
